Resource,20251027_220208,20251027_220855,20251027_221633,20251027_230521,20251027_231322,20251027_232650,20251028_131918,20251028_144401,20251028_150415,20251028_151421,20251028_161353,20251028_173350,20251028_180044,20251028_184322,20251028_203743
Rune Ra Ini (10 unit),48470.0,48468.0,48469.0,48468.0,48468.0,48467.0,48465.0,48462.0,48460.0,48460.0,48456.0,48453.0,48447.0,48443.0,47992.0
Rune Ra Ini (100 unit),499488.0,499487.0,499486.0,499491.0,499491.0,499491.0,495000.0,494999.0,494999.0,494999.0,494999.0,494999.0,491000.0,491000.0,491000.0
Rune Ra Pi Per (1 unit),9998.0,9998.0,9998.0,9899.0,9899.0,9899.0,9899.0,9899.0,9899.0,9899.0,9899.0,9899.0,9899.0,9899.0,9899.0
Rune Ra Pi Per (10 unit),99997.0,99997.0,99997.0,99997.0,99997.0,99997.0,99997.0,99997.0,99997.0,99997.0,99997.0,99997.0,99997.0,99997.0,99997.0
Rune Ra Pi Per (100 unit),,,,,,,,,,,,,,,
Rune Ra Pod (1 unit),52.0,,,50.0,50.0,50.0,45.0,45.0,45.0,45.0,45.0,45.0,,,35.0
Rune Ra Pod (10 unit),501.0,502.0,502.0,502.0,502.0,502.0,500.0,499.0,499.0,499.0,499.0,499.0,,,496.0
Rune Ra Pod (100 unit),5197.0,5197.0,5197.0,5197.0,5197.0,5197.0,4999.0,4999.0,4999.0,4999.0,4999.0,4999.0,,,4998.0
Rune Ra Sa (1 unit),1026.0,1025.0,1025.0,1023.0,1022.0,1022.0,1020.0,1019.0,1018.0,1018.0,1018.0,1019.0,1019.0,1019.0,1014.0
Rune Ra Sa (10 unit),9799.0,9799.0,9799.0,9787.0,9787.0,9787.0,9793.0,9791.0,9699.0,9699.0,9698.0,9697.0,9696.0,9697.0,9691.0
Rune Ra Sa (100 unit),99990.0,99991.0,99991.0,99989.0,99989.0,99989.0,99986.0,99986.0,99986.0,99987.0,99987.0,99986.0,99986.0,99986.0,99987.0
Rune Ra Vi (1 unit),2744.0,2742.0,2742.0,3006.0,3006.0,2750.0,2744.0,2742.0,2743.0,2743.0,2744.0,2743.0,2743.0,2742.0,2747.0
